School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,type,state
Davidson College,Liberal Arts,"$46,100.00 ","$104,000.00 ",,"$70,500.00 ","$146,000.00 ",,private,NC
Carleton College,Liberal Arts,"$47,500.00 ","$103,000.00 ",,"$69,400.00 ","$141,000.00 ",,private,MN
Williams College,Liberal Arts,"$51,700.00 ","$102,000.00 ",,"$76,400.00 ","$143,000.00 ",,private,MA
Pomona College,Liberal Arts,"$48,600.00 ","$101,000.00 ",,"$63,300.00 ","$161,000.00 ",,private,CA
"Wesleyan University (Middletown, Connecticut)",Liberal Arts,"$46,500.00 ","$97,900.00 ","$42,000.00 ","$62,500.00 ","$126,000.00 ","$215,000.00 ",private,CT
Bates College,Liberal Arts,"$47,300.00 ","$96,500.00 ",,"$60,700.00 ","$162,000.00 ",,private,ME
Union College,Liberal Arts,"$47,200.00 ","$95,800.00 ","$48,700.00 ","$75,200.00 ","$135,000.00 ","$230,000.00 ",private,NY
University of Richmond,Liberal Arts,"$48,600.00 ","$94,600.00 ","$44,500.00 ","$59,400.00 ","$151,000.00 ","$211,000.00 ",private,VA
Vassar College,Liberal Arts,"$46,000.00 ","$94,600.00 ",,"$60,600.00 ","$123,000.00 ",,private,NY
Middlebury College,Liberal Arts,"$47,700.00 ","$94,200.00 ",,"$69,100.00 ","$129,000.00 ",,private,VT
Mount Holyoke College,Liberal Arts,"$42,400.00 ","$94,100.00 ",,"$57,100.00 ","$131,000.00 ",,private,MA
Franklin and Marshall College,Liberal Arts,"$49,100.00 ","$92,800.00 ",,"$55,800.00 ","$185,000.00 ",,private,PA
DePauw University,Liberal Arts,"$41,400.00 ","$88,300.00 ","$49,500.00 ","$57,400.00 ","$133,000.00 ","$185,000.00 ",private,IN
St. Olaf College,Liberal Arts,"$45,300.00 ","$86,200.00 ","$41,300.00 ","$61,000.00 ","$120,000.00 ","$185,000.00 ",private,MN
Colby College,Liberal Arts,"$46,400.00 ","$85,800.00 ",,"$63,500.00 ","$129,000.00 ",,private,ME
Gettysburg College,Liberal Arts,"$44,700.00 ","$85,800.00 ",,"$66,300.00 ","$132,000.00 ",,private,PA
Siena College,Liberal Arts,"$45,500.00 ","$85,200.00 ","$38,700.00 ","$58,400.00 ","$129,000.00 ","$189,000.00 ",private,NY
Smith College,Liberal Arts,"$44,000.00 ","$83,900.00 ","$45,100.00 ","$59,800.00 ","$129,000.00 ","$184,000.00 ",private,MA
Hamilton College,Liberal Arts,"$49,200.00 ","$83,700.00 ",,"$51,900.00 ","$123,000.00 ",,private,NY
Randolph-Macon College,Liberal Arts,"$42,600.00 ","$83,600.00 ",,"$54,100.00 ","$123,000.00 ",,private,VA
Wellesley College,Liberal Arts,"$42,800.00 ","$83,500.00 ",,"$58,600.00 ","$125,000.00 ",,private,MA
Denison University,Liberal Arts,"$42,000.00 ","$83,500.00 ",,"$62,100.00 ","$122,000.00 ",,private,OH
Oberlin College,Liberal Arts,"$43,400.00 ","$81,600.00 ",,"$46,400.00 ","$128,000.00 ",,private,OH
University of Puget Sound,Liberal Arts,"$46,600.00 ","$81,500.00 ","$48,900.00 ","$60,100.00 ","$104,000.00 ","$137,000.00 ",private,WA
Colorado College (CC),Liberal Arts,"$38,500.00 ","$81,400.00 ",,"$43,000.00 ","$148,000.00 ",,private,CO
Reed College,Liberal Arts,"$40,500.00 ","$81,100.00 ",,"$67,400.00 ","$101,000.00 ",,private,OR
Gustavus Adolphus College,Liberal Arts,"$44,500.00 ","$80,600.00 ",,"$49,300.00 ","$101,000.00 ",,private,MN
Whitman College,Liberal Arts,"$43,500.00 ","$80,100.00 ",,"$64,800.00 ","$111,000.00 ",,private,NJ
Ursinus College,Liberal Arts,"$42,100.00 ","$80,000.00 ","$35,600.00 ","$54,300.00 ","$100,000.00 ","$160,000.00 ",private,PA
Juniata College,Liberal Arts,"$41,800.00 ","$78,900.00 ",,"$67,200.00 ","$110,000.00 ",,private,PA
Wittenberg University,Liberal Arts,"$39,200.00 ","$78,200.00 ",,"$54,100.00 ","$131,000.00 ",,private,OH
Grinnell College,Liberal Arts,"$42,600.00 ","$76,600.00 ",,"$65,100.00 ","$116,000.00 ",,private,IA
Skidmore College,Liberal Arts,"$41,600.00 ","$74,600.00 ",,"$42,800.00 ","$147,000.00 ",,private,NY
Moravian College,Liberal Arts,"$42,500.00 ","$74,400.00 ",,"$56,700.00 ","$94,900.00 ",,private,PA
Lewis & Clark College,Liberal Arts,"$38,900.00 ","$72,600.00 ","$38,200.00 ","$53,400.00 ","$104,000.00 ","$140,000.00 ",private,OR
Fort Lewis College,Liberal Arts,"$42,000.00 ","$69,800.00 ",,"$55,000.00 ","$94,000.00 ",,public,CO
Thomas Aquinas College,Liberal Arts,"$41,500.00 ","$67,500.00 ",,"$44,600.00 ","$93,100.00 ",,private,NY
Evergreen State College,Liberal Arts,"$39,500.00 ","$63,900.00 ","$38,800.00 ","$47,200.00 ","$91,600.00 ","$120,000.00 ",public,WA
Dartmouth College,Ivy League,"$58,000.00 ","$134,000.00 ","$63,100.00 ","$90,200.00 ","$234,000.00 ","$321,000.00 ",private,NH
Princeton University,Ivy League,"$66,500.00 ","$131,000.00 ","$68,900.00 ","$100,000.00 ","$190,000.00 ","$261,000.00 ",private,NJ
Yale University,Ivy League,"$59,100.00 ","$126,000.00 ","$58,000.00 ","$80,600.00 ","$198,000.00 ","$326,000.00 ",private,CT
Harvard University,Ivy League,"$63,400.00 ","$124,000.00 ","$54,800.00 ","$86,200.00 ","$179,000.00 ","$288,000.00 ",private,MA
University of Pennsylvania,Ivy League,"$60,900.00 ","$120,000.00 ","$55,900.00 ","$79,200.00 ","$192,000.00 ","$282,000.00 ",private,PA
Cornell University,Ivy League,"$60,300.00 ","$110,000.00 ","$56,800.00 ","$79,800.00 ","$160,000.00 ","$210,000.00 ",private,NY
Brown University,Ivy League,"$56,200.00 ","$109,000.00 ","$55,400.00 ","$74,400.00 ","$159,000.00 ","$228,000.00 ",private,RI
Columbia University,Ivy League,"$59,400.00 ","$107,000.00 ","$50,300.00 ","$71,900.00 ","$161,000.00 ","$241,000.00 ",private,NY
"University of California, Berkeley",State,"$59,900.00 ","$112,000.00 ","$59,500.00 ","$81,000.00 ","$149,000.00 ","$201,000.00 ",public,CA
University of Virginia (UVA),State,"$52,700.00 ","$103,000.00 ","$52,200.00 ","$71,800.00 ","$146,000.00 ","$215,000.00 ",public,VA
Cal Poly San Luis Obispo,State,"$57,200.00 ","$101,000.00 ","$55,000.00 ","$74,700.00 ","$133,000.00 ","$178,000.00 ",public,CA
University of California at Los Angeles (UCLA),State,"$52,600.00 ","$101,000.00 ","$51,300.00 ","$72,500.00 ","$139,000.00 ","$193,000.00 ",public,CA
"University of California, San Diego (UCSD)",State,"$51,100.00 ","$101,000.00 ","$51,700.00 ","$75,400.00 ","$131,000.00 ","$177,000.00 ",public,CA
"University of California, Davis",State,"$52,300.00 ","$99,600.00 ","$52,000.00 ","$71,600.00 ","$135,000.00 ","$202,000.00 ",public,CA
University of Colorado - Boulder (UCB),State,"$47,100.00 ","$97,600.00 ","$51,600.00 ","$69,000.00 ","$128,000.00 ","$187,000.00 ",public,CO
"University of California, Irvine (UCI)",State,"$48,300.00 ","$96,700.00 ","$47,800.00 ","$66,000.00 ","$123,000.00 ","$172,000.00 ",public,CA
University of Illinois at Urbana-Champaign (UIUC),State,"$52,900.00 ","$96,100.00 ","$48,200.00 ","$68,900.00 ","$132,000.00 ","$177,000.00 ",public,IL
Texas A&M University,State,"$49,700.00 ","$96,100.00 ","$51,100.00 ","$71,300.00 ","$131,000.00 ","$171,000.00 ",public,TX
Binghamton University,State,"$53,600.00 ","$95,900.00 ","$50,900.00 ","$71,200.00 ","$146,000.00 ","$201,000.00 ",public,NY
University of Missouri - Rolla (UMR),State,"$57,100.00 ","$95,800.00 ","$67,600.00 ","$80,400.00 ","$122,000.00 ","$166,000.00 ",public,MO
San Jose public (SJSU),State,"$53,500.00 ","$95,600.00 ","$50,700.00 ","$70,500.00 ","$122,000.00 ","$156,000.00 ",public,CA
"University of Maryland, College Park",State,"$52,000.00 ","$95,000.00 ","$50,400.00 ","$68,300.00 ","$126,000.00 ","$166,000.00 ",public,MD
"University of California, Santa Barbara (UCSB)",State,"$50,500.00 ","$95,000.00 ","$51,300.00 ","$71,200.00 ","$129,000.00 ","$173,000.00 ",public,CA
University of Texas (UT) - Austin,State,"$49,700.00 ","$93,900.00 ","$50,100.00 ","$67,400.00 ","$129,000.00 ","$188,000.00 ",public,TX
University of Michigan,State,"$52,700.00 ","$93,000.00 ","$50,900.00 ","$69,400.00 ","$128,000.00 ","$182,000.00 ",public,MI
Stony Brook University,State,"$49,500.00 ","$93,000.00 ","$47,200.00 ","$67,100.00 ","$129,000.00 ","$181,000.00 ",public,NY
public of New York (SUNY) at Albany,State,"$44,500.00 ","$92,200.00 ","$47,000.00 ","$63,100.00 ","$135,000.00 ","$209,000.00 ",public,NY
Rutgers University,State,"$50,300.00 ","$91,800.00 ","$48,100.00 ","$65,100.00 ","$128,000.00 ","$176,000.00 ",public,NJ
Purdue University,State,"$51,400.00 ","$90,500.00 ","$49,900.00 ","$67,400.00 ","$121,000.00 ","$168,000.00 ",public,IN
